ASN_Number,ASN_description,ASN_Country_Code,IP_Type,ip,IP_range,IP_description,IP_Country
AS60068,CDN77,GB,Global,185.229.188.169,185.229.188.0/23,Datacamp Limited,GB
AS60068,CDN77,GB,Global,185.229.188.170,185.229.188.0/23,Datacamp Limited,GB
AS64049,Reliance Jio Infocomm Pte Ltd Singapore,SG,Regional,103.198.140.43,103.198.140.0/24,"250 North Bridge Road, # 16-01 Raffles City Tower, Singapore",SG
AS64049,Reliance Jio Infocomm Pte Ltd Singapore,SG,Regional,103.198.140.64,103.198.140.0/24,"250 North Bridge Road, # 16-01 Raffles City Tower, Singapore",SG
AS64049,Reliance Jio Infocomm Pte Ltd Singapore,SG,Regional,103.198.140.249,103.198.140.0/24,"250 North Bridge Road, # 16-01 Raffles City Tower, Singapore",SG
AS64049,Reliance Jio Infocomm Pte Ltd Singapore,SG,Regional,103.198.140.215,103.198.140.0/24,"250 North Bridge Road, # 16-01 Raffles City Tower, Singapore",SG
AS64049,Reliance Jio Infocomm Pte Ltd Singapore,SG,Regional,103.198.140.176,103.198.140.0/24,"250 North Bridge Road, # 16-01 Raffles City Tower, Singapore",SG
AS64049,Reliance Jio Infocomm Pte Ltd Singapore,SG,Regional,103.198.140.106,103.198.140.0/24,"250 North Bridge Road, # 16-01 Raffles City Tower, Singapore",SG
AS6461,Zayo Bandwidth,US,Global,64.125.28.111,64.124.0.0/15,American Registry for Internet Numbers,US
AS6461,Zayo Bandwidth,US,Global,208.184.2.173,208.184.0.0/15,Zayo Bandwidth,US
AS8075,Microsoft Corporation,US,Global,104.44.239.204,104.40.0.0/13,Microsoft Corporation,US
AS8075,Microsoft Corporation,US,Global,104.44.230.7,104.40.0.0/13,Microsoft Corporation,US
AS8075,Microsoft Corporation,US,Global,104.44.29.110,104.40.0.0/13,Microsoft Corporation,US
AS8075,Microsoft Corporation,US,Global,13.107.253.40,13.104.0.0/14,Microsoft Corporation,US
AS8075,Microsoft Corporation,US,Global,104.44.11.81,104.40.0.0/13,Microsoft Corporation,US
AS8075,Microsoft Corporation,US,Global,104.44.21.224,104.40.0.0/13,Microsoft Corporation,US
AS8075,Microsoft Corporation,US,Global,104.44.19.194,104.40.0.0/13,Microsoft Corporation,US
AS8075,Microsoft Corporation,US,Global,104.44.33.207,104.40.0.0/13,Microsoft Corporation,US
AS8075,Microsoft Corporation,US,Global,13.107.246.67,13.104.0.0/14,Microsoft Corporation,US
AS8075,Microsoft Corporation,US,Global,13.104.140.165,13.104.0.0/14,Microsoft Corporation,US
AS8075,Microsoft Corporation,US,Global,104.44.42.94,104.40.0.0/13,Microsoft Corporation,US
AS8075,Microsoft Corporation,US,Global,104.44.239.79,104.40.0.0/13,Microsoft Corporation,US
